"open","high","low","close","volume","date_value","bigger","year"
453.130005,455.679993,407.070007,449.390015,109476800,"2020-09-21","yes","2020"
429.600006,437.76001,417.600006,424.230011,79580800,"2020-09-22","yes","2020"
405.160004,412.149994,375.880005,380.359985,95074200,"2020-09-23","yes","2020"
363.799988,399.5,351.299988,387.790009,96561100,"2020-09-24","yes","2020"
393.470001,408.730011,391.299988,407.339996,67208500,"2020-09-25","yes","2020"
424.619995,428.079987,415.549988,421.200012,49719600,"2020-09-28","yes","2020"
416,428.5,411.600006,419.070007,50219300,"2020-09-29","yes","2020"
421.320007,433.929993,420.470001,429.01001,48145600,"2020-09-30","yes","2020"
440.76001,448.880005,434.420013,448.160004,50741500,"2020-10-01","yes","2020"
421.390015,439.130005,415,415.089996,71430000,"2020-10-02","yes","2020"
423.350006,433.640015,419.329987,425.679993,44722800,"2020-10-05","yes","2020"
423.790009,428.779999,406.049988,413.980011,49146300,"2020-10-06","yes","2020"
419.869995,429.899994,413.850006,425.299988,42920400,"2020-10-07","yes","2020"
